match_id,p0hand,p1hand,hard,clay,grass,gender,sets_wr,sets_won,match_wr,match_win
20200121-W-Australian_Open-R128-Kateryna_Bondarenko-Arina_Rodionova,1,1,1,0,0,0,"[0.4406779661016949, 0.4954954954954955, 0.7741935483870968]","[0, 1, 1]",0.5223880597014925,1
20200121-W-Australian_Open-R128-Donna_Vekic-Maria_Sharapova,1,1,1,0,0,0,"[0.4117647058823529, 0.5178571428571429]","[0, 0]",0.4672897196261682,0
20200121-W-Australian_Open-R128-Anna_Blinkova-Jasmine_Paolini,1,1,1,0,0,0,"[0.48863636363636365, 0.44776119402985076]","[0, 0]",0.47096774193548385,0
20200121-W-Australian_Open-R128-Alize_Cornet-Monica_Niculescu,1,1,1,0,0,0,"[0.5308641975308642, 0.3170731707317073, 0.1935483870967742]","[1, 0, 0]",0.40522875816993464,0
20200120-W-Australian_Open-R128-Marie_Bouzkova-Naomi_Osaka,1,1,1,0,0,0,"[0.5769230769230769, 0.5573770491803278]","[1, 1]",0.5663716814159292,1
20200120-W-Australian_Open-R128-Jil_Belen_Teichmann-Ekaterina_Alexandrova,0,1,1,0,0,0,"[0.5384615384615384, 0.4583333333333333, 0.5862068965517241]","[1, 0, 1]",0.5240384615384616,1
20200120-W-Australian_Open-R128-Caroline_Wozniacki-Kristie_Ahn,1,1,1,0,0,0,"[0.3157894736842105, 0.44776119402985076]","[0, 0]",0.4,0
20200120-W-Australian_Open-R128-Ashleigh_Barty-Lesia_Tsurenko,1,1,1,0,0,0,"[0.48484848484848486, 0.3076923076923077, 0.3076923076923077]","[1, 0, 0]",0.3888888888888889,0
20200117-W-Australian_Open-Q2-Leylah_Annie_Fernandez-Mayo_Hibi,0,1,1,0,0,0,"[0.47058823529411764, 0.45161290322580644]","[0, 0]",0.46153846153846156,0
20200116-W-Hobart-QF-Lizette_Cabrera-Elena_Rybakina,1,1,1,0,0,0,"[0.475, 0.5268817204301075, 0.5616438356164384]","[0, 1, 1]",0.5203252032520326,1
20200115-W-Australian_Open-Q1-Lesley_Kerkhove-Eva_Guerrero_Alvarez,1,1,1,0,0,0,"[0.38636363636363635, 0.46835443037974683]","[0, 0]",0.43902439024390244,0
20200114-W-Australian_Open-Q1-Rebecca_Sramkova-Maddison_Inglis,1,1,1,0,0,0,"[0.5636363636363636, 0.32432432432432434, 0.5210084033613446]","[1, 0, 1]",0.4976303317535545,1
20200112-W-Auckland-F-Serena_Williams-Jessica_Pegula,1,1,1,0,0,0,"[0.45454545454545453, 0.42028985507246375]","[0, 0]",0.4383561643835616,0
20200111-W-Brisbane-SF-Naomi_Osaka-Karolina_Pliskova,1,1,1,0,0,0,"[0.4897959183673469, 0.5113636363636364, 0.6111111111111112]","[0, 1, 1]",0.525,1
20200111-W-Auckland-SF-Caroline_Wozniacki-Jessica_Pegula,1,1,1,0,0,0,"[0.4411764705882353, 0.5483870967741935, 0.7142857142857143]","[0, 1, 1]",0.5393939393939394,1
20200111-W-Auckland-SF-Amanda_Anisimova-Serena_Williams,1,1,1,0,0,0,"[0.6666666666666666, 0.7142857142857143]","[1, 1]",0.6891891891891891,1
20200110-W-Shenzhen-SF-Elena_Rybakina-Kristyna_Pliskova,1,0,1,0,0,0,"[0.423728813559322, 0.4603174603174603]","[0, 0]",0.4426229508196721,0
20200110-W-Brisbane-QF-Naomi_Osaka-Kiki_Bertens,1,1,1,0,0,0,"[0.42857142857142855, 0.5925925925925926, 0.4262295081967213]","[0, 1, 0]",0.47953216374269003,0
20200109-W-Shenzhen-QF-Elena_Rybakina-Elise_Mertens,1,1,1,0,0,0,"[0.4444444444444444, 0.5245901639344263, 0.38636363636363635]","[0, 1, 0]",0.4583333333333333,0
20200109-W-Brisbane-R16-Anett_Kontaveit-Kiki_Bertens,1,1,1,0,0,0,"[0.6181818181818182, 0.4642857142857143, 0.5373134328358209]","[1, 0, 1]",0.5393258426966292,1
20200107-W-Brisbane-R32-Dayana_Yastremska-Kiki_Bertens,1,1,1,0,0,0,"[0.5370370370370371, 0.375, 0.5636363636363636]","[1, 0, 1]",0.4968152866242038,1
20200106-W-Auckland-R32-Valentina_Ivanov-Jil_Belen_Teichmann,1,0,1,0,0,0,"[0.5633802816901409, 0.5737704918032787]","[1, 1]",0.5681818181818182,1
20191214-W-ITF_Dubai-F-Ana_Bogdan-Daria_Snigur,1,1,1,0,0,0,"[0.38461538461538464, 0.37209302325581395]","[0, 0]",0.37894736842105264,0
20191109-W-Fed_Cup_World_Group_F-RR-Ashleigh_Barty-Caroline_Garcia,1,1,1,0,0,0,"[0.3181818181818182, 0.32432432432432434]","[0, 0]",0.32098765432098764,0
20191101-W-Shenzhen_Finals-RR-Elina_Svitolina-Sofia_Kenin,1,1,1,0,0,0,"[0.4805194805194805, 0.47706422018348627]","[0, 0]",0.478494623655914,0
20191031-W-Shenzhen_Finals-RR-Belinda_Bencic-Kiki_Bertens,1,1,1,0,0,0,"[0.4931506849315068, 0.0]","[0, 0]",0.4675324675324675,0
20191030-W-Shenzhen_Finals-RR-Karolina_Pliskova-Bianca_Andreescu,1,1,1,0,0,0,[0.43283582089552236],[0],0.43283582089552236,0
20191030-W-Shenzhen_Finals-RR-Elina_Svitolina-Simona_Halep,1,1,1,0,0,0,"[0.4520547945205479, 0.45161290322580644]","[0, 0]",0.45185185185185184,0
20191029-W-Shenzhen_Finals-RR-Petra_Kvitova-Belinda_Bencic,0,1,1,0,0,0,"[0.5490196078431373, 0.34146341463414637, 0.5344827586206896]","[1, 0, 1]",0.4866666666666667,1
20191029-W-Shenzhen_Finals-RR-Ashleigh_Barty-Kiki_Bertens,1,1,1,0,0,0,"[0.4, 0.532258064516129, 0.5454545454545454]","[0, 1, 1]",0.5,1
20191028-W-Shenzhen_Finals-RR-Elina_Svitolina-Karolina_Pliskova,1,1,1,0,0,0,"[0.4946236559139785, 0.48]","[0, 0]",0.4880952380952381,0
20191026-W-Zhuhai-SF-Kiki_Bertens-Saisai_Zheng,1,1,1,0,0,0,"[0.6190476190476191, 0.43859649122807015, 0.47368421052631576]","[1, 0, 0]",0.49714285714285716,0
20191025-W-Zhuhai-RR-Karolina_Muchova-Sofia_Kenin,1,1,1,0,0,0,"[0.38, 0.5645161290322581, 0.4107142857142857]","[0, 1, 0]",0.4583333333333333,0
20191025-W-ITF_Szekesfehervar-QF-Kaja_Juvan-Katarina_Zavatska,1,1,0,1,0,0,"[0.6585365853658537, 0.5454545454545454]","[1, 1]",0.5887850467289719,1
20191024-W-Zhuhai-RR-Karolina_Muchova-Alison_Riske,1,1,1,0,0,0,"[0.6666666666666666, 0.3695652173913043, 0.43243243243243246]","[1, 0, 0]",0.47878787878787876,0
20191024-W-Zhuhai-RR-Dayana_Yastremska-Kiki_Bertens,1,1,1,0,0,0,"[0.56, 0.5555555555555556]","[1, 1]",0.5576923076923077,1
20191022-W-Zhuhai-RR-Kiki_Bertens-Donna_Vekic,1,1,1,0,0,0,"[0.5098039215686274, 0.375]","[0, 0]",0.4666666666666667,0
20191018-W-Moscow-QF-Veronika_Kudermetova-Anastasia_Pavlyuchenkova,1,1,1,0,0,0,"[0.5172413793103449, 0.5]","[1, 1]",0.5084745762711864,1
20191018-W-Moscow-QF-Kirsten_Flipkens-Belinda_Bencic,1,1,1,0,0,0,"[0.5212765957446809, 0.6923076923076923]","[1, 1]",0.5714285714285714,1
20191018-W-Moscow-QF-Kiki_Bertens-Kristina_Mladenovic,1,1,1,0,0,0,"[0.5, 0.37037037037037035, 0.6382978723404256]","[1, 0, 1]",0.4970414201183432,1
20191018-W-Moscow-QF-Karolina_Muchova-Ekaterina_Alexandrova,1,1,1,0,0,0,"[0.4461538461538462, 0.4406779661016949]","[0, 0]",0.4435483870967742,0
20191017-W-Moscow-R16-Kiki_Bertens-Kaia_Kanepi,1,1,1,0,0,0,"[0.5194805194805194, 0.44642857142857145, 0.4225352112676056]","[1, 0, 0]",0.46568627450980393,0
20191017-W-Moscow-R16-Elina_Svitolina-Veronika_Kudermetova,1,1,1,0,0,0,"[0.5957446808510638, 0.34782608695652173, 0.5393258426966292]","[1, 0, 1]",0.5054945054945055,1
20191016-W-Moscow-R16-Ekaterina_Alexandrova-Anna_Kalinskaya,1,1,1,0,0,0,"[0.3, 0.35714285714285715]","[0, 0]",0.32926829268292684,0
20191015-W-Moscow-R32-Ons_Jabeur-Veronika_Kudermetova,1,1,1,0,0,0,"[0.5573770491803278, 0.5555555555555556]","[1, 1]",0.5564516129032258,1
20191015-W-Moscow-R32-Katerina_Siniakova-Polona_Hercog,1,1,1,0,0,0,"[0.5230769230769231, 0.5918367346938775]","[1, 1]",0.5526315789473685,1
20191015-W-Moscow-R32-Jana_Cepelova-Ekaterina_Alexandrova,1,1,1,0,0,0,"[0.6944444444444444, 0.5573770491803278]","[1, 1]",0.6082474226804123,1
20191012-W-Tianjin-SF-Heather_Watson-Veronika_Kudermetova,1,1,1,0,0,0,"[0.2972972972972973, 0.4492753623188406]","[0, 0]",0.39622641509433965,0
20191011-W-Tianjin-QF-Dayana_Yastremska-Veronika_Kudermetova,1,1,1,0,0,0,"[0.5070422535211268, 0.6739130434782609]","[1, 1]",0.5726495726495726,1
20191011-W-Linz-QF-Cori_Gauff-Kiki_Bertens,1,1,1,0,0,0,"[0.46987951807228917, 0.4666666666666667]","[0, 0]",0.46853146853146854,0
20191010-W-Tianjin-R16-Shuai_Peng-Dayana_Yastremska,1,1,1,0,0,0,"[0.5964912280701754, 0.5423728813559322]","[1, 1]",0.5689655172413793,1
20191010-W-Linz-R16-Kiki_Bertens-Alison_Van_Uytvanck,1,1,1,0,0,0,"[0.5166666666666667, 0.43636363636363634, 0.42]","[1, 0, 0]",0.46060606060606063,0
20191009-W-Linz-R32-Misaki_Doi-Kiki_Bertens,0,1,1,0,0,0,"[0.5606060606060606, 0.5526315789473685]","[1, 1]",0.5563380281690141,1
20191008-W-Tianjin-R32-Ajla_Tomljanovic-Veronika_Kudermetova,1,1,1,0,0,0,"[0.52, 0.6170212765957447]","[1, 1]",0.5573770491803278,1
20191005-W-Beijing-SF-Caroline_Wozniacki-Naomi_Osaka,1,1,1,0,0,0,"[0.5303030303030303, 0.5714285714285714]","[1, 1]",0.5491803278688525,1
20191005-W-Beijing-SF-Ashleigh_Barty-Kiki_Bertens,1,1,1,0,0,0,"[0.4107142857142857, 0.5510204081632653, 0.48514851485148514]","[0, 1, 0]",0.48058252427184467,0
20191004-W-Beijing-QF-Naomi_Osaka-Bianca_Andreescu,1,1,1,0,0,0,"[0.5352112676056338, 0.4067796610169492, 0.47540983606557374]","[1, 0, 0]",0.47643979057591623,0
20191004-W-Beijing-QF-Kiki_Bertens-Elina_Svitolina,1,1,1,0,0,0,"[0.4782608695652174, 0.4]","[0, 0]",0.4507042253521127,0
20191003-W-Beijing-R16-Naomi_Osaka-Alison_Riske,1,1,1,0,0,0,"[0.47761194029850745, 0.2857142857142857]","[0, 0]",0.4117647058823529,0
20191003-W-Beijing-R16-Jennifer_Brady-Bianca_Andreescu,1,1,1,0,0,0,"[0.6346153846153846, 0.5370370370370371]","[1, 1]",0.5849056603773585,1
20191003-W-Beijing-R16-Darya_Kasatkina-Ekaterina_Alexandrova,1,1,1,0,0,0,"[0.4583333333333333, 0.4603174603174603]","[0, 0]",0.45925925925925926,0
20191002-W-Beijing-R32-Bianca_Andreescu-Elise_Mertens,1,1,1,0,0,0,"[0.4117647058823529, 0.5045871559633027]","[0, 0]",0.475,0
20191002-W-Beijing-R16-Kiki_Bertens-Polona_Hercog,1,1,1,0,0,0,"[0.48314606741573035, 0.6341463414634146, 0.3958333333333333]","[0, 1, 0]",0.4943820224719101,0
20191002-W-Beijing-R16-Elina_Svitolina-Sofia_Kenin,1,1,1,0,0,0,"[0.42, 0.5080645161290323, 0.41509433962264153]","[0, 1, 0]",0.4669603524229075,0
20191002-W-Beijing-R16-Belinda_Bencic-Petra_Kvitova,1,0,1,0,0,0,"[0.5573770491803278, 0.5606060606060606]","[1, 1]",0.5590551181102362,1
20191001-W-Beijing-R32-Angelique_Kerber-Polona_Hercog,0,1,1,0,0,0,"[0.5689655172413793, 0.5714285714285714]","[1, 1]",0.5702479338842975,1
